Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LandingPage,Chrome 132.0.6834.160,,,06-02-2025 11:28:13,06-02-2025 11:28:31,17.968s,PASSED
,,,,,,,
Test Cases/VerifyLandingPage,Chrome 132.0.6834.160,,,06-02-2025 11:28:15,06-02-2025 11:28:31,16.121s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,06-02-2025 11:28:17,06-02-2025 11:28:26,9.439s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 132.0.6834.160,,,06-02-2025 11:28:26,06-02-2025 11:28:27,0.682s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 132.0.6834.160,,,06-02-2025 11:28:27,06-02-2025 11:28:28,1.490s,PASSED
"verifyElementText(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""), ""Enter the Store"")",Chrome 132.0.6834.160,,,06-02-2025 11:28:28,06-02-2025 11:28:29,0.493s,PASSED
"click(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 132.0.6834.160,,,06-02-2025 11:28:29,06-02-2025 11:28:30,1.372s,PASSED
closeBrowser(),Chrome 132.0.6834.160,,,06-02-2025 11:28:30,06-02-2025 11:28:31,0.595s,PASSED
