Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LandingPage,Chrome 132.0.6834.160,,,06-02-2025 11:24:58,06-02-2025 11:25:15,16.263s,PASSED
,,,,,,,
Test Cases/VerifyLandingPage,Chrome 132.0.6834.160,,,06-02-2025 11:25:00,06-02-2025 11:25:15,14.947s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,06-02-2025 11:25:01,06-02-2025 11:25:09,8.452s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 132.0.6834.160,,,06-02-2025 11:25:09,06-02-2025 11:25:10,0.974s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 132.0.6834.160,,,06-02-2025 11:25:10,06-02-2025 11:25:11,0.691s,PASSED
"verifyElementText(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""), ""Enter the Store"")",Chrome 132.0.6834.160,,,06-02-2025 11:25:11,06-02-2025 11:25:11,0.445s,PASSED
"click(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 132.0.6834.160,,,06-02-2025 11:25:11,06-02-2025 11:25:14,2.541s,PASSED
closeBrowser(),Chrome 132.0.6834.160,,,06-02-2025 11:25:14,06-02-2025 11:25:15,0.573s,PASSED
