Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LandingPage,Chrome 132.0.6834.160,,,06-02-2025 10:36:27,06-02-2025 10:36:36,9.721s,PASSED
,,,,,,,
Test Cases/VerifyLandingPage,Chrome 132.0.6834.160,,,06-02-2025 10:36:27,06-02-2025 10:36:36,9.272s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,06-02-2025 10:36:28,06-02-2025 10:36:32,4.753s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 132.0.6834.160,,,06-02-2025 10:36:32,06-02-2025 10:36:33,1.001s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 132.0.6834.160,,,06-02-2025 10:36:33,06-02-2025 10:36:34,0.536s,PASSED
"verifyElementText(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""), ""Enter the Store"")",Chrome 132.0.6834.160,,,06-02-2025 10:36:34,06-02-2025 10:36:34,0.373s,PASSED
"click(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 132.0.6834.160,,,06-02-2025 10:36:34,06-02-2025 10:36:36,1.508s,PASSED
closeBrowser(),Chrome 132.0.6834.160,,,06-02-2025 10:36:36,06-02-2025 10:36:36,0.545s,PASSED
